Area Name,Time,Rate
Santa Clara County,Aug-90,0.039329092
Santa Clara County,Sep-90,0.042275264
Santa Clara County,Oct-90,0.043068957
Santa Clara County,Nov-90,0.045836788
Santa Clara County,Dec-90,0.045016077
Santa Clara County,Jan-91,0.054236086
Santa Clara County,Feb-91,0.055122757
Santa Clara County,Mar-91,0.056219671
Santa Clara County,Apr-91,0.05444365
Santa Clara County,May-91,0.056032427
Santa Clara County,Jun-91,0.059667853
Santa Clara County,Jul-91,0.060435038
Santa Clara County,Aug-91,0.056434475
Santa Clara County,Sep-91,0.057913669
Santa Clara County,Oct-91,0.05707817
Santa Clara County,Nov-91,0.0582965
Santa Clara County,Dec-91,0.056235012
Santa Clara County,Jan-92,0.066254312
Santa Clara County,Feb-92,0.068715017
